sample_name,mod$distances,name,Density,Diversity,plantcount,Density_Diversity
8Af1,0.5257156,8Af1,Low,Af,2,Af1
10abF48,0.4586051,10abF48,High,Fab,3,Fab48
8aF1,0.5325202,8aF1,Low,Fa,2,Fa1
12Abf48,0.5120238,12Abf48,High,Abf,3,Abf48
8Af48,0.4541674,8Af48,High,Af,2,Af48
7A1,0.4418977,7A1,Low,A,1,A1
6Af48,0.5003049,6Af48,High,Af,2,Af48
4aB1,0.4610998,4aB1,Low,Ba,2,Ba1
8aB24,0.4528208,8aB24,Medium,Ba,2,Ba24
8aF24,0.4241967,8aF24,Medium,Fa,2,Fa24
4Bf24,0.5629088,4Bf24,Medium,Bf,3,Bf24
6aF48,0.4873643,6aF48,High,Fa,2,Fa48
12Abf1,0.507172,12Abf1,Low,Abf,3,Abf1
4Ab1,0.4981922,4Ab1,Low,Ab,2,Ab1
3Ab1,0.4909438,3Ab1,Low,Ab,2,Ab1
3aBf24,0.4548142,3aBf24,Medium,Baf,3,Baf24
12Bf1,0.521167,12Bf1,Low,Bf,2,Bf1
12aF48,0.4937675,12aF48,High,Fa,2,Fa48
3aF24,0.564857,3aF24,Medium,Fa,2,Fa24
5Abf48,0.4651402,5Abf48,High,Abf,3,Abf48
12abF48,0.5347029,12abF48,High,Fab,3,Fab48
8B1,0.5231247,8B1,Low,B,1,B1
8Ab1,0.5586478,8Ab1,Low,Ab,2,Ab1
2aBf1,0.539653,2aBf1,Low,Baf,3,Baf1
5abF24,0.5497479,5abF24,Medium,Fab,3,Fab24
9abF1,0.457805,9abF1,Low,Fab,3,Fab1
3Bf1,0.4735581,3Bf1,Low,Bf,2,Bf1
8F1,0.4470657,8F1,Low,F,1,F1
10A24,0.4491372,10A24,Medium,A,1,A24
1A24,0.4105329,1A24,Medium,A,1,A24
7aF1,0.4928908,7aF1,Low,Fa,2,Fa1
12Af1,0.5575637,12Af1,Low,Af,2,Af1
4F24,0.4977555,4F24,Medium,F,1,F24
8abF1,0.4971958,8abF1,Low,Fab,3,Fab1
4bF24,0.4843849,4bF24,Medium,Fb,2,Fb24
,,,,,,
